epoch,step,elbo,elbo_filtered
0,2812,5.9314914,5.9314914
0,2812,5.9315515,5.9315515
0,2812,5.9317575,5.9317575
0,2812,5.932758,5.932758
0,2812,5.932878,5.932878
0,2812,5.933431,5.933431
0,2812,5.9333177,5.9333177
1,5624,5.634872,5.634872
2,8436,5.8738003,5.8738003
3,11248,6.491139,6.491139
4,14060,6.6029844,6.6029844
5,16872,6.1492004,6.1492004
6,19684,5.572487,5.572487
7,22496,5.0899353,5.0899353
8,25308,4.721758,4.721758
9,28120,4.4032364,4.4032364
10,30932,4.1004977,4.1004977
11,33744,3.822085,3.822085
12,36556,3.5761101,3.5761101
13,39368,3.3661864,3.3661864
14,42180,3.1844113,3.1844113
15,44992,3.027329,3.027329
16,47804,2.8847,2.8847
17,50616,2.7650843,2.7650843
18,53428,2.6651871,2.6651871
19,56240,2.582793,2.582793
20,59052,2.5162904,2.5162904
21,61864,2.4588704,2.4588704
22,64676,2.4116805,2.4116805
23,67488,2.3733144,2.3733144
24,70300,2.3407202,2.3407202
25,73112,2.3164692,2.3164692
26,75924,2.2947824,2.2947824
27,78736,2.2792735,2.2792735
28,81548,2.265471,2.265471
29,84360,2.2526903,2.2526903
30,87172,2.2428198,2.2428198
31,89984,2.2353764,2.2353764
32,92796,2.2279963,2.2279963
33,95608,2.2176764,2.2176764
34,98420,2.2100139,2.2100139
35,101232,2.203833,2.203833
36,104044,2.2001922,2.2001922
37,106856,2.1955144,2.1955144
38,109668,2.1883423,2.1883423
39,112480,2.181277,2.181277
40,115292,2.1749465,2.1749465
41,118104,2.167481,2.167481
42,120916,2.1622338,2.1622338
43,123728,2.1574113,2.1574113
44,126540,2.1537073,2.1537073
45,129352,2.149399,2.149399
46,132164,2.1462774,2.1462774
47,134976,2.14244,2.14244
48,137788,2.1386223,2.1386223
49,140600,2.136018,2.136018
50,143412,2.1327193,2.1327193
51,146224,2.1302838,2.1302838
52,149036,2.127855,2.127855
53,151848,2.1251693,2.1251693
54,154660,2.1218684,2.1218684
55,157472,2.1194127,2.1194127
56,160284,2.1162715,2.1162715
57,163096,2.1152434,2.1152434
58,165908,2.1126857,2.1126857
59,168720,2.109653,2.109653
60,171532,2.1076748,2.1076748
61,174344,2.105482,2.105482
62,177156,2.1024127,2.1024127
63,179968,2.1010027,2.1010027
64,182780,2.0991576,2.0991576
65,185592,2.0972056,2.0972056
66,188404,2.095135,2.095135
67,191216,2.0933828,2.0933828
68,194028,2.092047,2.092047
69,196840,2.0906358,2.0906358
70,199652,2.0884936,2.0884936
71,202464,2.086218,2.086218
72,205276,2.08499,2.08499
73,208088,2.0834856,2.0834856
74,210900,2.0815446,2.0815446
75,213712,2.0789888,2.0789888
76,216524,2.0778394,2.0778394
77,219336,2.0767908,2.0767908
78,222148,2.074916,2.074916
79,224960,2.073457,2.073457
80,227772,2.072627,2.072627
81,230584,2.070954,2.070954
82,233396,2.0701227,2.0701227
83,236208,2.0684988,2.0684988
84,239020,2.0677352,2.0677352
85,241832,2.0664973,2.0664973
86,244644,2.0655427,2.0655427
87,247456,2.0648918,2.0648918
88,250268,2.0638223,2.0638223
89,253080,2.0624645,2.0624645
90,255892,2.0621169,2.0621169
91,258704,2.0612493,2.0612493
92,261516,2.059944,2.059944
93,264328,2.0587153,2.0587153
94,267140,2.0572734,2.0572734
95,269952,2.0565913,2.0565913
96,272764,2.0545442,2.0545442
97,275576,2.0544596,2.0544596
98,278388,2.053681,2.053681
99,281200,2.0545568,2.0545568
100,284012,2.0553427,2.0553427
101,286824,2.0553095,2.0553095
102,289636,2.054578,2.054578
103,292448,2.051961,2.051961
104,295260,2.0495722,2.0495722
105,298072,2.0475962,2.0475962
106,300884,2.0467124,2.0467124
107,303696,2.044436,2.044436
108,306508,2.0447266,2.0447266
109,309320,2.0437043,2.0437043
110,312132,2.042202,2.042202
111,314944,2.0409825,2.0409825
112,317756,2.0411952,2.0411952
113,320568,2.0398333,2.0398333
114,323380,2.0387633,2.0387633
115,326192,2.037278,2.037278
116,329004,2.0368865,2.0368865
117,331816,2.035915,2.035915
118,334628,2.0353596,2.0353596
119,337440,2.0348985,2.0348985
120,340252,2.0334766,2.0334766
121,343064,2.032961,2.032961
